dataset,person_name,image_filename,relative_path
old_cropped_faces,juliana,juliana_0.png,training_data/juliana/juliana_0.png
old_cropped_faces,juliana,juliana_1.png,training_data/juliana/juliana_1.png
old_cropped_faces,juliana,juliana_2.png,training_data/juliana/juliana_2.png
old_cropped_faces,juliana,juliana_3.png,training_data/juliana/juliana_3.png
old_cropped_faces,juliana,juliana_4.png,training_data/juliana/juliana_4.png
old_cropped_faces,kim,kim_0.png,training_data/kim/kim_0.png
old_cropped_faces,kim,kim_1.png,training_data/kim/kim_1.png
old_cropped_faces,kim,kim_2.png,training_data/kim/kim_2.png
old_cropped_faces,kim,kim_3.png,training_data/kim/kim_3.png
old_cropped_faces,kim,kim_4.png,training_data/kim/kim_4.png
old_cropped_faces,mai,mai_0.png,training_data/mai/mai_0.png
old_cropped_faces,mai,mai_1.png,training_data/mai/mai_1.png
old_cropped_faces,mai,mai_2.png,training_data/mai/mai_2.png
old_cropped_faces,mai,mai_3.png,training_data/mai/mai_3.png
old_cropped_faces,mai,mai_4.png,training_data/mai/mai_4.png
old_cropped_faces,michael,michael_0.png,training_data/michael/michael_0.png
old_cropped_faces,michael,michael_1.png,training_data/michael/michael_1.png
old_cropped_faces,michael,michael_2.png,training_data/michael/michael_2.png
old_cropped_faces,michael,michael_3.png,training_data/michael/michael_3.png
old_cropped_faces,michael,michael_4.png,training_data/michael/michael_4.png
old_cropped_faces,ntr,ntr_0.png,training_data/ntr/ntr_0.png
old_cropped_faces,ntr,ntr_1.png,training_data/ntr/ntr_1.png
old_cropped_faces,ntr,ntr_2.png,training_data/ntr/ntr_2.png
old_cropped_faces,ntr,ntr_3.png,training_data/ntr/ntr_3.png
old_cropped_faces,ntr,ntr_4.png,training_data/ntr/ntr_4.png
old_cropped_faces,park,park_0.png,training_data/park/park_0.png
old_cropped_faces,park,park_1.png,training_data/park/park_1.png
old_cropped_faces,park,park_2.png,training_data/park/park_2.png
old_cropped_faces,park,park_3.png,training_data/park/park_3.png
old_cropped_faces,park,park_4.png,training_data/park/park_4.png
old_cropped_faces,patrick,patrick_0.png,training_data/patrick/patrick_0.png
old_cropped_faces,patrick,patrick_1.png,training_data/patrick/patrick_1.png
old_cropped_faces,patrick,patrick_2.png,training_data/patrick/patrick_2.png
old_cropped_faces,patrick,patrick_3.png,training_data/patrick/patrick_3.png
old_cropped_faces,patrick,patrick_4.png,training_data/patrick/patrick_4.png
old_cropped_faces,pedro,pedro_0.png,training_data/pedro/pedro_0.png
old_cropped_faces,pedro,pedro_1.png,training_data/pedro/pedro_1.png
old_cropped_faces,pedro,pedro_2.png,training_data/pedro/pedro_2.png
old_cropped_faces,pedro,pedro_3.png,training_data/pedro/pedro_3.png
old_cropped_faces,pedro,pedro_4.png,training_data/pedro/pedro_4.png
old_cropped_faces,rachel,rachel_0.png,training_data/rachel/rachel_0.png
old_cropped_faces,rachel,rachel_1.png,training_data/rachel/rachel_1.png
old_cropped_faces,rachel,rachel_2.png,training_data/rachel/rachel_2.png
old_cropped_faces,rachel,rachel_3.png,training_data/rachel/rachel_3.png
old_cropped_faces,rachel,rachel_4.png,training_data/rachel/rachel_4.png
old_cropped_faces,zen,zen_0.png,training_data/zen/zen_0.png
old_cropped_faces,zen,zen_1.png,training_data/zen/zen_1.png
old_cropped_faces,zen,zen_2.png,training_data/zen/zen_2.png
old_cropped_faces,zen,zen_3.png,training_data/zen/zen_3.png
old_cropped_faces,zen,zen_4.png,training_data/zen/zen_4.png
