path,person,filename,url
juliana/juliana_1.jpeg,juliana,juliana_1.jpeg,https://www.elitemodels.com/miami/women/2786-juliana-nalu
juliana/juliana_2.jpeg,juliana,juliana_2.jpeg,https://www.elitemodels.com/miami/women/2786-juliana-nalu
juliana/juliana_3.jpeg,juliana,juliana_3.jpeg,
juliana/juliana_4.jpeg,juliana,juliana_4.jpeg,https://pagesix.com/2022/10/10/who-is-juliana-nalu-meet-the-model-spotted-with-kanye-west/
juliana/juliana_5.jpeg,juliana,juliana_5.jpeg,https://tvklan.al/ish-partnerja-juliana-nalu-i-tregon-kanye-eest-se-cfare-ai-ka-humbur
kim/kim_1.jpeg,kim,kim_1.jpeg,https://www.justjared.com/2023/11/30/kim-kardashian-jokes-her-family-scammed-the-system-to-become-famous/
kim/kim_2.jpeg,kim,kim_2.jpeg,https://www.hola.com/us/celebrities/20230706347723/kim-kardashian-shines-2m-diamond-belt-michael-rubin-white-party/
kim/Kim_3.jpeg,kim,Kim_3.jpeg,https://people.com/kim-kardashian-skkn-by-kim-resurfacing-mask-interview-exclusive-8351258
kim/kim_4.jpeg,kim,kim_4.jpeg,https://www.yahoo.com/entertainment/kim-kardashian-reflects-being-insecure-041500355.html
kim/kim_5.jpeg,kim,kim_5.jpeg,https://www.teenvogue.com/story/kim-kardashian-blonde-american-horror-story-delicate-teaser
mai/mai_1.jpeg,mai,mai_1.jpeg,https://www.latimes.com/entertainment-arts/tv/story/2023-06-09/maitreyi-ramakrishnan-never-have-i-ever-final-season
mai/mai_2.jpeg,mai,mai_2.jpeg,https://www.teenvogue.com/story/maitreyi-ramakrishnan-shared-a-skin-care-hack-for-efficiency
mai/mai_3.jpg,mai,mai_3.jpg,https://www.imdb.com/name/nm10826558/mediaviewer/rm2234964481/
mai/mai_4.jpeg,mai,mai_4.jpeg,https://people.com/never-have-i-ever-maitreyi-ramakrishnan-on-growing-up-with-devi-exclusive-7508736
mai/mai_5.jpeg,mai,mai_5.jpeg,https://www.yahoo.com/lifestyle/maitreyi-ramakrishnan-total-slay-toned-210300227.html
michael/michael_1.jpg,michael,michael_1.jpg,https://www.imdb.com/name/nm0430107/
michael/michael_2.jpg,michael,michael_2.jpg,https://www.flickr.com/photos/146461623@N05/42075892224/
michael/michael_3.jpeg,michael,michael_3.jpeg,https://walkoffame.com/press_releases/actor-director-producer-michael-b-jordan-to-be-honored-with-hollywood-walk-of-fame-star/
michael/michael_4.jpeg,michael,michael_4.jpeg,https://www.yahoo.com/lifestyle/michael-b-jordan-reveals-keeps-175005083.html
michael/michael_5.jpg,michael,michael_5.jpg,https://people.com/movies/michael-b-jordan-relationship-will-happen-when-supposed-to-happen/
ntr/ntr_1.jpeg,ntr,ntr_1.jpeg,https://in.bookmyshow.com/person/jr-ntr/15411
ntr/ntr_2.jpeg,ntr,ntr_2.jpeg,https://x.com/cinecorndotcom/status/1759523104974619089
ntr/ntr_3.jpeg,ntr,ntr_3.jpeg,https://www.deccanchronicle.com/entertainment/tollywood/170216/rs-3-crore-for-the-jr-ntr-s-upcoming-film-set-of-a-garage.html
