dataset,person_name,image_filename,relative_path
LFW,Alejandro_Toledo,Alejandro_Toledo_000.jpg,balanced_lfw/Alejandro_Toledo/Alejandro_Toledo_000.jpg
LFW,Alejandro_Toledo,Alejandro_Toledo_001.jpg,balanced_lfw/Alejandro_Toledo/Alejandro_Toledo_001.jpg
LFW,Alejandro_Toledo,Alejandro_Toledo_002.jpg,balanced_lfw/Alejandro_Toledo/Alejandro_Toledo_002.jpg
LFW,Alejandro_Toledo,Alejandro_Toledo_003.jpg,balanced_lfw/Alejandro_Toledo/Alejandro_Toledo_003.jpg
LFW,Alejandro_Toledo,Alejandro_Toledo_004.jpg,balanced_lfw/Alejandro_Toledo/Alejandro_Toledo_004.jpg
LFW,Alejandro_Toledo,Alejandro_Toledo_005.jpg,balanced_lfw/Alejandro_Toledo/Alejandro_Toledo_005.jpg
LFW,Alejandro_Toledo,Alejandro_Toledo_006.jpg,balanced_lfw/Alejandro_Toledo/Alejandro_Toledo_006.jpg
LFW,Alejandro_Toledo,Alejandro_Toledo_007.jpg,balanced_lfw/Alejandro_Toledo/Alejandro_Toledo_007.jpg
LFW,Alejandro_Toledo,Alejandro_Toledo_008.jpg,balanced_lfw/Alejandro_Toledo/Alejandro_Toledo_008.jpg
LFW,Alejandro_Toledo,Alejandro_Toledo_009.jpg,balanced_lfw/Alejandro_Toledo/Alejandro_Toledo_009.jpg
LFW,Alvaro_Uribe,Alvaro_Uribe_000.jpg,balanced_lfw/Alvaro_Uribe/Alvaro_Uribe_000.jpg
LFW,Alvaro_Uribe,Alvaro_Uribe_001.jpg,balanced_lfw/Alvaro_Uribe/Alvaro_Uribe_001.jpg
LFW,Alvaro_Uribe,Alvaro_Uribe_002.jpg,balanced_lfw/Alvaro_Uribe/Alvaro_Uribe_002.jpg
LFW,Alvaro_Uribe,Alvaro_Uribe_003.jpg,balanced_lfw/Alvaro_Uribe/Alvaro_Uribe_003.jpg
LFW,Alvaro_Uribe,Alvaro_Uribe_004.jpg,balanced_lfw/Alvaro_Uribe/Alvaro_Uribe_004.jpg
LFW,Alvaro_Uribe,Alvaro_Uribe_005.jpg,balanced_lfw/Alvaro_Uribe/Alvaro_Uribe_005.jpg
LFW,Alvaro_Uribe,Alvaro_Uribe_006.jpg,balanced_lfw/Alvaro_Uribe/Alvaro_Uribe_006.jpg
LFW,Alvaro_Uribe,Alvaro_Uribe_007.jpg,balanced_lfw/Alvaro_Uribe/Alvaro_Uribe_007.jpg
LFW,Alvaro_Uribe,Alvaro_Uribe_008.jpg,balanced_lfw/Alvaro_Uribe/Alvaro_Uribe_008.jpg
LFW,Alvaro_Uribe,Alvaro_Uribe_009.jpg,balanced_lfw/Alvaro_Uribe/Alvaro_Uribe_009.jpg
LFW,Andre_Agassi,Andre_Agassi_000.jpg,balanced_lfw/Andre_Agassi/Andre_Agassi_000.jpg
LFW,Andre_Agassi,Andre_Agassi_001.jpg,balanced_lfw/Andre_Agassi/Andre_Agassi_001.jpg
LFW,Andre_Agassi,Andre_Agassi_002.jpg,balanced_lfw/Andre_Agassi/Andre_Agassi_002.jpg
LFW,Andre_Agassi,Andre_Agassi_003.jpg,balanced_lfw/Andre_Agassi/Andre_Agassi_003.jpg
LFW,Andre_Agassi,Andre_Agassi_004.jpg,balanced_lfw/Andre_Agassi/Andre_Agassi_004.jpg
LFW,Andre_Agassi,Andre_Agassi_005.jpg,balanced_lfw/Andre_Agassi/Andre_Agassi_005.jpg
LFW,Andre_Agassi,Andre_Agassi_006.jpg,balanced_lfw/Andre_Agassi/Andre_Agassi_006.jpg
LFW,Andre_Agassi,Andre_Agassi_007.jpg,balanced_lfw/Andre_Agassi/Andre_Agassi_007.jpg
LFW,Andre_Agassi,Andre_Agassi_008.jpg,balanced_lfw/Andre_Agassi/Andre_Agassi_008.jpg
LFW,Andre_Agassi,Andre_Agassi_009.jpg,balanced_lfw/Andre_Agassi/Andre_Agassi_009.jpg
LFW,Ariel_Sharon,Ariel_Sharon_000.jpg,balanced_lfw/Ariel_Sharon/Ariel_Sharon_000.jpg
LFW,Ariel_Sharon,Ariel_Sharon_001.jpg,balanced_lfw/Ariel_Sharon/Ariel_Sharon_001.jpg
LFW,Ariel_Sharon,Ariel_Sharon_002.jpg,balanced_lfw/Ariel_Sharon/Ariel_Sharon_002.jpg
LFW,Ariel_Sharon,Ariel_Sharon_003.jpg,balanced_lfw/Ariel_Sharon/Ariel_Sharon_003.jpg
LFW,Ariel_Sharon,Ariel_Sharon_004.jpg,balanced_lfw/Ariel_Sharon/Ariel_Sharon_004.jpg
LFW,Ariel_Sharon,Ariel_Sharon_005.jpg,balanced_lfw/Ariel_Sharon/Ariel_Sharon_005.jpg
LFW,Ariel_Sharon,Ariel_Sharon_006.jpg,balanced_lfw/Ariel_Sharon/Ariel_Sharon_006.jpg
LFW,Ariel_Sharon,Ariel_Sharon_007.jpg,balanced_lfw/Ariel_Sharon/Ariel_Sharon_007.jpg
LFW,Ariel_Sharon,Ariel_Sharon_008.jpg,balanced_lfw/Ariel_Sharon/Ariel_Sharon_008.jpg
