dataset,identity_id,person_name,image_filename,relative_path
VGGFace2,n000002,A_Fine_Frenzy,0001_01.jpg,vggface2_balanced_100_100/n000002/0001_01.jpg
VGGFace2,n000002,A_Fine_Frenzy,0002_01.jpg,vggface2_balanced_100_100/n000002/0002_01.jpg
VGGFace2,n000002,A_Fine_Frenzy,0003_01.jpg,vggface2_balanced_100_100/n000002/0003_01.jpg
VGGFace2,n000002,A_Fine_Frenzy,0004_01.jpg,vggface2_balanced_100_100/n000002/0004_01.jpg
VGGFace2,n000002,A_Fine_Frenzy,0005_01.jpg,vggface2_balanced_100_100/n000002/0005_01.jpg
VGGFace2,n000002,A_Fine_Frenzy,0006_01.jpg,vggface2_balanced_100_100/n000002/0006_01.jpg
VGGFace2,n000002,A_Fine_Frenzy,0007_01.jpg,vggface2_balanced_100_100/n000002/0007_01.jpg
VGGFace2,n000002,A_Fine_Frenzy,0008_01.jpg,vggface2_balanced_100_100/n000002/0008_01.jpg
VGGFace2,n000002,A_Fine_Frenzy,0009_01.jpg,vggface2_balanced_100_100/n000002/0009_01.jpg
VGGFace2,n000002,A_Fine_Frenzy,0010_01.jpg,vggface2_balanced_100_100/n000002/0010_01.jpg
VGGFace2,n000002,A_Fine_Frenzy,0011_01.jpg,vggface2_balanced_100_100/n000002/0011_01.jpg
VGGFace2,n000002,A_Fine_Frenzy,0012_01.jpg,vggface2_balanced_100_100/n000002/0012_01.jpg
VGGFace2,n000002,A_Fine_Frenzy,0013_01.jpg,vggface2_balanced_100_100/n000002/0013_01.jpg
VGGFace2,n000002,A_Fine_Frenzy,0014_01.jpg,vggface2_balanced_100_100/n000002/0014_01.jpg
VGGFace2,n000002,A_Fine_Frenzy,0015_01.jpg,vggface2_balanced_100_100/n000002/0015_01.jpg
VGGFace2,n000002,A_Fine_Frenzy,0016_01.jpg,vggface2_balanced_100_100/n000002/0016_01.jpg
VGGFace2,n000002,A_Fine_Frenzy,0017_01.jpg,vggface2_balanced_100_100/n000002/0017_01.jpg
